user,course,score,rank
Melanie,COMS1004,5.95363,1
Melanie,COMS3261,5.29861,2
Melanie,COMS4701,5.2026,3
Melanie,COMS3134,5.16699,4
Jenny,COMS1004,5.72346,1
Jenny,COMS3134,5.63371,2
Jenny,COMS3261,5.36017,3
Jenny,COMS4701,5.1671,4
Anh,COMS3261,5.79595,1
Anh,COMS3134,5.61612,2
Anh,COMS4701,5.52733,3
Anh,COMS1004,5.328,4
Sneha,COMS3101,7.57782,1
Sneha,COMS3261,7.11782,2
Sneha,COMS4118,6.99435,3
Sneha,COMS4701,6.87341,4
Sneha,COMS4111,6.81054,5
Sneha,COMS3134,6.76584,6
Sneha,COMS1004,5.53,7
StressedStudent,COMS3101,8.07072,1
StressedStudent,COMS4118,7.84639,2
StressedStudent,COMS4111,7.7172,3
StressedStudent,COMS3157,7.47495,4
StressedStudent,COMS3261,7.06021,5
StressedStudent,COMS3137,6.94546,6
StressedStudent,COMS3134,6.74706,7
StressedStudent,COMS4701,6.68962,8
StressedStudent,COMS1004,6.02953,9
StressedStudent1,COMS4118,8.25677,1
StressedStudent1,COMS4701,8.22116,2
StressedStudent1,COMS3261,8.19256,3
StressedStudent1,COMS3101,7.65585,4
StressedStudent1,COMS3157,7.31824,5
StressedStudent1,COMS4111,7.16111,6
StressedStudent1,COMS3203,6.93836,7
StressedStudent1,COMS3137,6.73659,8
StressedStudent1,COMS1007,6.56506,9
StressedStudent2,COMS4118,8.41656,1
StressedStudent2,COMS3261,8.23885,2
StressedStudent2,COMS4701,8.17698,3
StressedStudent2,COMS3101,7.885,4
StressedStudent2,COMS3157,7.51278,5
StressedStudent2,COMS4111,7.39416,6
StressedStudent2,COMS3203,7.11076,7
StressedStudent2,COMS1007,6.94303,8
StressedStudent2,COMS3137,6.45478,9
